category,sub-cateogry,branch
media,film,Canadian Department of National Defence
media,music,Shared Services Canada
media,games,Canadian Department of National Defence
media,music,Shared Services Canada
media,music,Shared Services Canada
media,game,Canadian Department of National Defence
media,music,Shared Services Canada
media,music,Shared Services Canada
media,music,Government of Canada
media,music,Shared Services Canada
media,music,Finance Canada
media,television,Shared Services Canada
media,event,Shared Services Canada
media,musician,Canadian Department of National Defence
media,author,Shared Services Canada
media,author,Shared Services Canada
media,actor,Canadian Department of National Defence
media,television,Canadian Broadcasting Corporation
media,art,Canadian Museum of Civilization
media,comedy,Canadian Broadcasting Corporation
media,music,Department of Justice Canada
media,game,Canadian Department of National Defence
media,game,Shared Services Canada
media,radio,Environment Canada
media,radio,Environment Canada
media,film,Government of Canada
media,film,Shared Services Canada
media,television,Shared Services Canada
media,television,Government of Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,music,Canadian Broadcasting Corporation
media,event,Canadian Department of National Defence
media,event,Canadian Department of National Defence
media,event,Canadian Department of National Defence
media,film,Government of Canada
media,film,Shared Services Canada
media,film,Government of Canada
media,film,Shared Services Canada
media,film,Government of Canada
media,film,Shared Services Canada
media,painting,Industry Canada
media,games,Shared Services Canada
media,internet,Industry Canada
media,actor,Shared Services Canada
media,television,Shared Services Canada
media,television,Shared Services Canada
media,television,Shared Services Canada
media,film,Shared Services Canada
media,actor,Canadian House of Commons
media,television,Shared Services Canada
media,television,Finance Canada
media,game,Shared Services Canada
media,game,Shared Services Canada
media,game,Shared Services Canada
media,game,Shared Services Canada
media,game,Shared Services Canada
media,radio,Shared Services Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,television,Shared Services Canada
media,television,Government of Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,event,Environment Canada
media,event,Environment Canada
media,radio,Canadian Broadcasting Corporation
media,television,Shared Services Canada
media,book,Industry Canada
media,television,Canadian Broadcasting Corporation
media,television,Canadian Broadcasting Corporation
media,television,Canadian Broadcasting Corporation
media,television,Canadian Department of National Defence
media,television,Canadian Department of National Defence
media,game,Shared Services Canada
media,game,Shared Services Canada
media,game,Shared Services Canada
media,game,Shared Services Canada
media,music,Environment Canada
media,actor,Canadian Broadcasting Corporation
media,film,Shared Services Canada
media,television,Department of Justice Canada
media,film,Canadian Department of National Defence
media,music,Department of Justice Canada
media,film,Government of Canada
media,film,Shared Services Canada
media,media place,Shared Services Canada
media,music,Canadian Department of National Defence
media,music,Canadian Department of National Defence
media,music,Canadian Department of National Defence
media,music,Canadian Department of National Defence
media,television,Environment Canada
media,poetry,Shared Services Canada
media,author,Shared Services Canada
media,cartoon,Canadian Department of National Defence
media,television,Shared Services Canada
media,television,Shared Services Canada
media,television,Transport Canada
media,music,Shared Services Canada
media,television,Canadian House of Commons
media,film,Shared Services Canada
media,film,Shared Services Canada
media,film,Shared Services Canada
media,film,Shared Services Canada
media,film,Shared Services Canada
media,play,Canadian Department of National Defence
media,comedy,Canadian Department of National Defence
media,comedy,Canadian Department of National Defence
media,comedy,Canadian Department of National Defence
media,play,Canadian Department of National Defence
media,author,Department of Fisheries and Oceans
media,author,Shared Services Canada
media,television,Shared Services Canada
media,television,Government of Canada
media,singer,Shared Services Canada
media,music,Shared Services Canada
media,music,Shared Services Canada
media,music,Shared Services Canada
media,music,Shared Services Canada
media,music,Shared Services Canada
media,music,Shared Services Canada
media,television,Shared Services Canada
media,television,Canadian Department of National Defence
media,music,Shared Services Canada
media,music,Transport Canada
media,comic,Shared Services Canada
media,music,Canadian Broadcasting Corporation
media,radio,Natural Resources Canada
media,manga,Environment Canada
media,manga,Environment Canada
media,game,Environment Canada
media,film,Environment Canada
media,music,Shared Services Canada
media,author,Shared Services Canada
media,book,Canadian House of Commons
media,television,Shared Services Canada
media,radio,Canadian Broadcasting Corporation
media,radio,Canadian Broadcasting Corporation
media,painting,Canadian Department of National Defence
media,dancer,Shared Services Canada
media,business,Shared Services Canada
media,business,Shared Services Canada
media,book,Industry Canada
media,television,Shared Services Canada
media,television,Transport Canada
media,television,Shared Services Canada
media,television,Transport Canada
media,music,Shared Services Canada
media,poetry,Shared Services Canada
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military place,Canadian House of Commons
military,military equipment,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military battle,Natural Resources Canada
military,military battle,Natural Resources Canada
military,military place,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military event,Shared Services Canada
military,military unit,Shared Services Canada
military,military battle,Shared Services Canada
military,military battle,Shared Services Canada
military,military unit,Canadian Department of National Defence
military,military equipment,Canadian Department of National Defence
military,military event,Canadian Department of National Defence
military,military equipment,Canadian Department of National Defence
military,military equipment,Canadian Department of National Defence
military,pilot,Canadian Department of National Defence
military,pilot,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military equipment,Environment Canada
military,military place,Library and Archives Canada
military,military event,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian House of Commons
military,military unit,Canadian Department of National Defence
military,military battle,Shared Services Canada
military,military battle,Shared Services Canada
military,military unit,Canadian Department of National Defence
military,military rank,Canadian Department of National Defence
military,military rank,Canadian Department of National Defence
military,military rank,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military equipment,Canadian Department of National Defence
military,military battle,Shared Services Canada
military,military equipment,Shared Services Canada
military,military equipment,Shared Services Canada
military,military place,Canadian Department of National Defence
military,military equipment,Shared Services Canada
military,military equipment,Shared Services Canada
military,military unit,Canadian Department of National Defence
military,soldier,Shared Services Canada
military,military unit,Canadian Space Agency
military,military unit,Canadian Space Agency
military,military equipment,Canadian Department of National Defence
military,military equipment,Canadian Department of National Defence
military,military unit,Shared Services Canada
military,military unit,Shared Services Canada
military,military unit,Canadian Department of National Defence
military,military battle,Canadian Department of National Defence
military,soldier,Library and Archives Canada
military,soldier,Canadian Department of National Defence
military,soldier,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military event,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military rank,Canadian Department of National Defence
military,military unit,Finance Canada
military,military unit,Shared Services Canada
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,soldier,Canadian Department of National Defence
military,military unit,Shared Services Canada
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,soldier,Shared Services Canada
military,military battle,Shared Services Canada
military,military ranks,Canadian Department of National Defence
military,military ranks,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military ranks,Shared Services Canada
military,military unit,Canadian Department of National Defence
military,soldier,Canadian Department of National Defence
military,military equipment,Canadian Department of National Defence
military,military equipment,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military rank,Canadian Department of National Defence
military,military place,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,rank/appointment,Canadian Department of National Defence
military,military unit,Shared Services Canada
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,soldier,Shared Services Canada
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military equipment,Canadian Department of National Defence
military,soldier,Department of Justice Canada
military,soldier,Department of Justice Canada
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military place,Canadian Department of National Defence
military,military unit,Canadian House of Commons
military,military unit,Canadian House of Commons
military,military unit,Canadian House of Commons
military,soldier,Canadian Department of National Defence
military,soldier,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military place,Canadian Department of National Defence
military,military place,Canadian Department of National Defence
military,military place,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military rank,Canadian Department of National Defence
military,military rank,Canadian Department of National Defence
military,military rank,Canadian Department of National Defence
military,military rank,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,soldier,Shared Services Canada
military,military event,Canadian Department of National Defence
military,military event,Canadian Department of National Defence
military,military equipment,Canadian Department of National Defence
military,military equipment,Canadian Department of National Defence
military,military equipment,Canadian Department of National Defence
military,military equipment,Canadian Department of National Defence
military,military equipment,Canadian Department of National Defence
military,military equipment,Canadian Department of National Defence
military,military event,Canadian Department of National Defence
military,military rank,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,soldier,Shared Services Canada
military,military unit,Shared Services Canada
military,military equipment,Canadian Department of National Defence
military,military place,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,soldier,Shared Services Canada
military,military unit,Canadian Department of National Defence
military,military equipment,Canadian Department of National Defence
military,military event,Canadian Department of National Defence
military,military event,Canadian Department of National Defence
military,soldier,Library and Archives Canada
military,soldier,Library and Archives Canada
military,military equipment,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,soldier,Canadian Department of National Defence
military,military event,Shared Services Canada
military,military unit,Canadian Department of National Defence
military,military equipment,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Shared Services Canada
military,military place,Canadian Department of National Defence
military,military equipment,Shared Services Canada
military,military equipment,Shared Services Canada
military,military unit,Canadian Department of National Defence
military,military event,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military event,Canadian Department of National Defence
military,military place,Shared Services Canada
military,military unit,Department of Justice Canada
military,military event,Shared Services Canada
military,military equipment,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,soldier,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
military,military unit,Canadian Department of National Defence
